1st Q,1st Q.1,1st Q.2,1st Q.3,1st Q.4,1st Q.5,table
11:15.0,A. Wiggins misses 3-pt jump shot from 23 ft,,67-69,,,pbp
11:10.0,,,67-69,,Defensive rebound by J. Suggs,pbp
11:06.0,,,67-69,,Shooting foul by A. Wiggins (drawn by F. Wagner),pbp
11:06.0,,,67-69,,F. Wagner misses free throw 1 of 2,pbp
11:06.0,,,67-69,,Offensive rebound by Team,pbp
11:06.0,,,67-70,+1,F. Wagner makes free throw 2 of 2,pbp
10:59.0,Offensive foul by N. Powell (drawn by J. Suggs),,67-70,,,pbp
10:59.0,Turnover by N. Powell (offensive foul),,67-70,,,pbp
10:44.0,,,67-70,,Turnover by W. Carter (3 sec),pbp
10:24.0,Turnover by N. Powell (lost ball; steal by J. Suggs),,67-70,,,pbp
10:20.0,,,67-70,,Turnover by D. Bane (out of bounds lost ball),pbp
9:50.0,N. Jović misses 2-pt layup from 3 ft,,67-70,,,pbp
9:47.0,,,67-70,,Defensive rebound by P. Banchero,pbp
9:46.0,,,67-72,+2,P. Banchero makes 2-pt dunk from 3 ft (assist by W. Carter),pbp
9:43.0,D. Mitchell misses 2-pt layup from 5 ft,,67-72,,,pbp
9:43.0,,,67-72,,Defensive rebound by D. Bane,pbp
9:33.0,,,67-72,,Personal foul by N. Powell (drawn by J. Suggs),pbp
9:24.0,,,67-72,,D. Bane misses 2-pt jump shot from 6 ft,pbp
9:22.0,Defensive rebound by N. Powell,,67-72,,,pbp
9:14.0,Shooting foul by D. Bane (drawn by N. Jović),,67-72,,,pbp
9:14.0,N. Jović misses free throw 1 of 2,,67-72,,,pbp
9:14.0,Offensive rebound by Team,,67-72,,,pbp
9:14.0,,,67-72,,T. Jones enters the game for J. Suggs,pbp
9:14.0,N. Jović makes free throw 2 of 2,+1,68-72,,,pbp
8:58.0,,,68-72,,Turnover by F. Wagner (traveling),pbp
8:42.0,N. Powell misses 2-pt jump shot from 7 ft,,68-72,,,pbp
8:39.0,,,68-72,,Defensive rebound by F. Wagner,pbp
8:37.0,,,68-72,,Turnover by T. Jones (bad pass),pbp
8:23.0,B. Adebayo makes 2-pt dunk from 1 ft (assist by D. Mitchell),+2,70-72,,,pbp
8:06.0,,,70-72,,W. Carter misses 2-pt hook shot from 5 ft,pbp
8:05.0,Defensive rebound by B. Adebayo,,70-72,,,pbp
7:52.0,N. Jović misses 2-pt layup from 3 ft (block by D. Bane),,70-72,,,pbp
7:49.0,,,70-72,,Defensive rebound by P. Banchero,pbp
7:42.0,,,70-72,,F. Wagner misses 3-pt jump shot from 24 ft,pbp
7:42.0,Defensive rebound by D. Mitchell,,70-72,,,pbp
7:36.0,A. Wiggins makes 2-pt dunk from 1 ft (assist by D. Mitchell),+2,72-72,,,pbp
7:36.0,Shooting foul by F. Wagner (drawn by A. Wiggins),,72-72,,,pbp
7:36.0,,,72-72,,Orlando full timeout,pbp
7:36.0,A. Wiggins misses free throw 1 of 1,,72-72,,,pbp
7:33.0,,,72-72,,Defensive rebound by P. Banchero,pbp
7:13.0,,,72-74,+2,D. Bane makes 2-pt hook shot from 2 ft (assist by F. Wagner),pbp
6:53.0,D. Mitchell makes 2-pt jump shot from 8 ft,+2,74-74,,,pbp
6:44.0,,,74-74,,Shooting foul by N. Jović (drawn by P. Banchero),pbp
6:44.0,,,74-75,+1,P. Banchero makes free throw 1 of 2,pbp
6:44.0,,,74-75,,J. Isaac enters the game for F. Wagner,pbp
6:44.0,,,74-76,+1,P. Banchero makes free throw 2 of 2,pbp
6:34.0,D. Mitchell makes 2-pt jump shot from 9 ft,+2,76-76,,,pbp
6:19.0,,,76-76,,Turnover by D. Bane (lost ball; steal by N. Powell),pbp
6:11.0,D. Mitchell misses 3-pt jump shot from 27 ft,,76-76,,,pbp
6:08.0,,,76-76,,Defensive rebound by P. Banchero,pbp
5:57.0,,,76-79,+3,P. Banchero makes 3-pt jump shot from 25 ft (assist by D. Bane),pbp
5:46.0,N. Powell makes 3-pt jump shot from 23 ft (assist by D. Mitchell),+3,79-79,,,pbp
5:33.0,,,79-79,,Turnover by P. Banchero (out of bounds lost ball),pbp
5:33.0,J. Jaquez enters the game for N. Jović,,79-79,,,pbp
5:33.0,D. Smith enters the game for D. Mitchell,,79-79,,,pbp
5:18.0,D. Smith misses 2-pt layup from 6 ft (block by T. Jones),,79-79,,,pbp
5:18.0,Offensive rebound by Team,,79-79,,,pbp
5:16.0,N. Powell misses 3-pt jump shot from 23 ft,,79-79,,,pbp
5:12.0,,,79-79,,Defensive rebound by P. Banchero,pbp
5:04.0,,,79-79,,D. Bane misses 2-pt jump shot from 22 ft,pbp
5:01.0,Defensive rebound by A. Wiggins,,79-79,,,pbp
4:53.0,J. Jaquez makes 2-pt layup from 3 ft,+2,81-79,,,pbp
4:27.0,,,81-79,,Turnover by P. Banchero (bad pass; steal by J. Jaquez),pbp
4:24.0,J. Jaquez makes 2-pt layup from 3 ft (assist by B. Adebayo),+2,83-79,,,pbp
4:24.0,,,83-79,,Orlando full timeout,pbp
4:24.0,S. Fontecchio enters the game for N. Powell,,83-79,,,pbp
4:24.0,,,83-79,,A. Black enters the game for T. Jones,pbp
4:07.0,,,83-79,,D. Bane misses 2-pt layup from 4 ft,pbp
4:04.0,Defensive rebound by B. Adebayo,,83-79,,,pbp
3:51.0,D. Smith misses 3-pt jump shot from 23 ft,,83-79,,,pbp
3:51.0,Offensive rebound by B. Adebayo,,83-79,,,pbp
3:45.0,A. Wiggins misses 3-pt jump shot from 25 ft,,83-79,,,pbp
3:41.0,Offensive rebound by S. Fontecchio,,83-79,,,pbp
3:37.0,A. Wiggins misses 3-pt jump shot from 26 ft,,83-79,,,pbp
3:37.0,,,83-79,,Defensive rebound by Team,pbp
3:37.0,Loose ball foul by J. Jaquez (drawn by W. Carter),,83-79,,,pbp
3:15.0,,,83-81,+2,D. Bane makes 2-pt jump shot from 6 ft (assist by A. Black),pbp
3:02.0,B. Adebayo makes 2-pt jump shot from 8 ft,+2,85-81,,,pbp
2:50.0,,,85-81,,Shooting foul by D. Smith (drawn by P. Banchero),pbp
2:50.0,,,85-82,+1,P. Banchero makes free throw 1 of 2,pbp
2:50.0,N. Powell enters the game for A. Wiggins,,85-82,,,pbp
2:50.0,,,85-82,,G. Bitadze enters the game for D. Bane,pbp
2:50.0,,,85-82,,J. Suggs enters the game for W. Carter,pbp
2:50.0,,,85-82,,F. Wagner enters the game for J. Isaac,pbp
2:50.0,,,85-83,+1,P. Banchero makes free throw 2 of 2,pbp
2:38.0,S. Fontecchio misses 3-pt jump shot from 25 ft,,85-83,,,pbp
2:35.0,,,85-83,,Defensive rebound by A. Black,pbp
2:16.0,,,85-83,,Offensive foul by J. Suggs (drawn by D. Smith),pbp
2:16.0,,,85-83,,Turnover by J. Suggs (offensive foul),pbp
2:16.0,D. Mitchell enters the game for B. Adebayo,,85-83,,,pbp
2:16.0,K. Ware enters the game for D. Smith,,85-83,,,pbp
2:16.0,,,85-83,,T. Da Silva enters the game for P. Banchero,pbp
2:08.0,N. Powell misses 2-pt layup from 1 ft,,85-83,,,pbp
2:08.0,Offensive rebound by Team,,85-83,,,pbp
2:08.0,,,85-83,,Loose ball foul by G. Bitadze (drawn by K. Ware),pbp
2:03.0,S. Fontecchio makes 2-pt dunk from 2 ft (assist by N. Powell),+2,87-83,,,pbp
1:42.0,,,87-85,+2,J. Suggs makes 2-pt layup from 2 ft (assist by F. Wagner),pbp
1:22.0,Turnover by J. Jaquez (traveling),,87-85,,,pbp
