1st Q,1st Q.1,1st Q.2,1st Q.3,1st Q.4,1st Q.5
7:41.0,,,50-53,+3,T. Da Silva makes 3-pt jump shot from 25 ft (assist by G. Bitadze)
7:41.0,Miami full timeout,,50-53,,
7:41.0,N. Powell enters the game for S. Fontecchio,,50-53,,
7:23.0,N. Powell misses 2-pt jump shot from 11 ft (block by A. Black),,50-53,,
7:19.0,Offensive rebound by N. Powell,,50-53,,
7:19.0,B. Adebayo misses 3-pt jump shot from 24 ft,,50-53,,
7:16.0,,,50-53,,Defensive rebound by P. Banchero
7:12.0,,,50-53,,T. Da Silva misses 2-pt layup from 2 ft
7:10.0,,,50-53,,Offensive rebound by G. Bitadze
7:10.0,,,50-55,+2,G. Bitadze makes 2-pt layup at rim
7:10.0,N. Jović enters the game for A. Wiggins,,50-55,,
7:10.0,,,50-55,,D. Bane enters the game for G. Bitadze
7:10.0,,,50-55,,W. Carter enters the game for A. Black
6:50.0,Turnover by N. Jović (lost ball; steal by P. Banchero),,50-55,,
6:48.0,,,50-57,+2,P. Banchero makes 2-pt layup from 3 ft
6:48.0,,,50-57,,Shooting foul by D. Mitchell (drawn by P. Banchero)
6:48.0,,,50-57,,P. Banchero misses free throw 1 of 1
6:39.0,Defensive rebound by J. Jaquez,,50-57,,
6:35.0,N. Powell makes 2-pt jump shot from 6 ft,+2,52-57,,
6:23.0,,,52-57,,W. Carter misses 3-pt jump shot from 23 ft
6:23.0,Defensive rebound by N. Powell,,52-57,,
6:11.0,N. Powell misses 2-pt layup from 1 ft,,52-57,,
6:09.0,,,52-57,,Defensive rebound by P. Banchero
5:48.0,,,52-57,,P. Banchero misses 3-pt jump shot from 26 ft
5:45.0,Defensive rebound by B. Adebayo,,52-57,,
5:40.0,J. Jaquez makes 2-pt layup from 2 ft (assist by B. Adebayo),+2,54-57,,
5:15.0,,,54-57,,Turnover by D. Bane (bad pass; steal by J. Jaquez)
5:08.0,B. Adebayo misses 2-pt jump shot from 8 ft,,54-57,,
5:05.0,,,54-57,,Defensive rebound by T. Da Silva
5:05.0,,,54-57,,F. Wagner enters the game for T. Da Silva
5:00.0,,,54-57,,Shooting foul by B. Adebayo (drawn by P. Banchero)
5:00.0,,,54-58,+1,P. Banchero makes free throw 1 of 2
5:00.0,,,54-58,,P. Banchero misses free throw 2 of 2
4:58.0,Defensive rebound by B. Adebayo,,54-58,,
4:49.0,Turnover by N. Jović (out of bounds lost ball),,54-58,,
4:33.0,,,54-58,,Turnover by T. Jones (bad pass; steal by N. Jović)
4:32.0,Personal foul by F. Wagner (drawn by N. Jović),,54-58,,
4:21.0,Turnover by B. Adebayo (traveling),,54-58,,
4:05.0,,,54-58,,Turnover by W. Carter (bad pass; steal by D. Mitchell)
3:53.0,Shooting foul by F. Wagner (drawn by B. Adebayo),,54-58,,
3:53.0,B. Adebayo makes free throw 1 of 2,+1,55-58,,
3:53.0,,,55-58,,A. Black enters the game for T. Jones
3:53.0,B. Adebayo makes free throw 2 of 2,+1,56-58,,
3:41.0,,,56-60,+2,F. Wagner makes 2-pt layup from 2 ft
3:26.0,D. Mitchell makes 2-pt layup from 2 ft,+2,58-60,,
3:15.0,,,58-60,,D. Bane misses 3-pt jump shot from 25 ft
3:15.0,Defensive rebound by Team,,58-60,,
3:15.0,,,58-60,,Loose ball foul by W. Carter (drawn by B. Adebayo)
3:01.0,Shooting foul by W. Carter (drawn by B. Adebayo),,58-60,,
3:01.0,A. Wiggins enters the game for J. Jaquez,,58-60,,
3:01.0,,,58-60,,G. Bitadze enters the game for W. Carter
3:01.0,B. Adebayo makes free throw 1 of 2,+1,59-60,,
3:01.0,B. Adebayo makes free throw 2 of 2,+1,60-60,,
2:46.0,,,60-62,+2,F. Wagner makes 2-pt jump shot from 7 ft
2:36.0,Turnover by B. Adebayo (lost ball; steal by G. Bitadze),,60-62,,
2:28.0,,,60-65,+3,F. Wagner makes 3-pt jump shot from 26 ft (assist by D. Bane)
2:04.0,A. Wiggins makes 2-pt jump shot from 19 ft,+2,62-65,,
1:48.0,,,62-65,,P. Banchero misses 2-pt jump shot from 14 ft
1:48.0,Defensive rebound by A. Wiggins,,62-65,,
1:36.0,D. Mitchell makes 3-pt jump shot from 25 ft (assist by N. Powell),+3,65-65,,
1:33.0,,,65-65,,Shooting foul by D. Mitchell (drawn by D. Bane)
1:33.0,,,65-65,,Orlando full timeout
1:33.0,,,65-66,+1,D. Bane makes free throw 1 of 2
1:33.0,,,65-67,+1,D. Bane makes free throw 2 of 2
1:16.0,B. Adebayo misses 2-pt jump shot from 7 ft,,65-67,,
1:12.0,,,65-67,,Defensive rebound by D. Bane
1:05.0,,,65-69,+2,D. Bane makes 2-pt jump shot from 14 ft
0:54.0,A. Wiggins misses 2-pt jump shot from 5 ft,,65-69,,
0:51.0,,,65-69,,Defensive rebound by G. Bitadze
0:38.0,,,65-69,,F. Wagner misses 3-pt jump shot from 27 ft
0:36.0,Defensive rebound by N. Jović,,65-69,,
0:32.0,N. Jović misses 3-pt jump shot from 27 ft,,65-69,,
0:28.0,,,65-69,,Defensive rebound by G. Bitadze
0:07.0,,,65-69,,D. Bane misses 2-pt jump shot from 20 ft
0:05.0,Defensive rebound by N. Powell,,65-69,,
0:00.0,Team misses heave shot,,65-69,,
0:00.0,Offensive rebound by Team,,65-69,,
0:00.0,End of 2nd quarter,End of 2nd quarter,End of 2nd quarter,End of 2nd quarter,End of 2nd quarter
3rd Q,3rd Q,3rd Q,3rd Q,3rd Q,3rd Q
Time,Miami,,Score,,Orlando
12:00.0,Start of 3rd quarter,Start of 3rd quarter,Start of 3rd quarter,Start of 3rd quarter,Start of 3rd quarter
11:43.0,N. Powell makes 2-pt layup from 3 ft,+2,67-69,,
11:27.0,,,67-69,,P. Banchero misses 2-pt jump shot from 11 ft
11:24.0,Defensive rebound by B. Adebayo,,67-69,,
11:15.0,A. Wiggins misses 3-pt jump shot from 23 ft,,67-69,,
11:10.0,,,67-69,,Defensive rebound by J. Suggs
11:06.0,,,67-69,,Shooting foul by A. Wiggins (drawn by F. Wagner)
11:06.0,,,67-69,,F. Wagner misses free throw 1 of 2
11:06.0,,,67-69,,Offensive rebound by Team
11:06.0,,,67-70,+1,F. Wagner makes free throw 2 of 2
10:59.0,Offensive foul by N. Powell (drawn by J. Suggs),,67-70,,
10:59.0,Turnover by N. Powell (offensive foul),,67-70,,
10:44.0,,,67-70,,Turnover by W. Carter (3 sec)
10:24.0,Turnover by N. Powell (lost ball; steal by J. Suggs),,67-70,,
10:20.0,,,67-70,,Turnover by D. Bane (out of bounds lost ball)
9:50.0,N. Jović misses 2-pt layup from 3 ft,,67-70,,
9:47.0,,,67-70,,Defensive rebound by P. Banchero
9:46.0,,,67-72,+2,P. Banchero makes 2-pt dunk from 3 ft (assist by W. Carter)
9:43.0,D. Mitchell misses 2-pt layup from 5 ft,,67-72,,
9:43.0,,,67-72,,Defensive rebound by D. Bane
9:33.0,,,67-72,,Personal foul by N. Powell (drawn by J. Suggs)
9:24.0,,,67-72,,D. Bane misses 2-pt jump shot from 6 ft
9:22.0,Defensive rebound by N. Powell,,67-72,,
9:14.0,Shooting foul by D. Bane (drawn by N. Jović),,67-72,,
9:14.0,N. Jović misses free throw 1 of 2,,67-72,,
9:14.0,Offensive rebound by Team,,67-72,,
9:14.0,,,67-72,,T. Jones enters the game for J. Suggs
9:14.0,N. Jović makes free throw 2 of 2,+1,68-72,,
8:58.0,,,68-72,,Turnover by F. Wagner (traveling)
8:42.0,N. Powell misses 2-pt jump shot from 7 ft,,68-72,,
8:39.0,,,68-72,,Defensive rebound by F. Wagner
8:37.0,,,68-72,,Turnover by T. Jones (bad pass)
8:23.0,B. Adebayo makes 2-pt dunk from 1 ft (assist by D. Mitchell),+2,70-72,,
8:06.0,,,70-72,,W. Carter misses 2-pt hook shot from 5 ft
8:05.0,Defensive rebound by B. Adebayo,,70-72,,
7:52.0,N. Jović misses 2-pt layup from 3 ft (block by D. Bane),,70-72,,
7:49.0,,,70-72,,Defensive rebound by P. Banchero
7:42.0,,,70-72,,F. Wagner misses 3-pt jump shot from 24 ft
7:42.0,Defensive rebound by D. Mitchell,,70-72,,
7:36.0,A. Wiggins makes 2-pt dunk from 1 ft (assist by D. Mitchell),+2,72-72,,
7:36.0,Shooting foul by F. Wagner (drawn by A. Wiggins),,72-72,,
7:36.0,,,72-72,,Orlando full timeout
7:36.0,A. Wiggins misses free throw 1 of 1,,72-72,,
7:33.0,,,72-72,,Defensive rebound by P. Banchero
7:13.0,,,72-74,+2,D. Bane makes 2-pt hook shot from 2 ft (assist by F. Wagner)
6:53.0,D. Mitchell makes 2-pt jump shot from 8 ft,+2,74-74,,
6:44.0,,,74-74,,Shooting foul by N. Jović (drawn by P. Banchero)
6:44.0,,,74-75,+1,P. Banchero makes free throw 1 of 2
6:44.0,,,74-75,,J. Isaac enters the game for F. Wagner
6:44.0,,,74-76,+1,P. Banchero makes free throw 2 of 2
6:34.0,D. Mitchell makes 2-pt jump shot from 9 ft,+2,76-76,,
6:19.0,,,76-76,,Turnover by D. Bane (lost ball; steal by N. Powell)
6:11.0,D. Mitchell misses 3-pt jump shot from 27 ft,,76-76,,
6:08.0,,,76-76,,Defensive rebound by P. Banchero
5:57.0,,,76-79,+3,P. Banchero makes 3-pt jump shot from 25 ft (assist by D. Bane)
5:46.0,N. Powell makes 3-pt jump shot from 23 ft (assist by D. Mitchell),+3,79-79,,
5:33.0,,,79-79,,Turnover by P. Banchero (out of bounds lost ball)
5:33.0,J. Jaquez enters the game for N. Jović,,79-79,,
5:33.0,D. Smith enters the game for D. Mitchell,,79-79,,
5:18.0,D. Smith misses 2-pt layup from 6 ft (block by T. Jones),,79-79,,
5:18.0,Offensive rebound by Team,,79-79,,
5:16.0,N. Powell misses 3-pt jump shot from 23 ft,,79-79,,
5:12.0,,,79-79,,Defensive rebound by P. Banchero
5:04.0,,,79-79,,D. Bane misses 2-pt jump shot from 22 ft
5:01.0,Defensive rebound by A. Wiggins,,79-79,,
4:53.0,J. Jaquez makes 2-pt layup from 3 ft,+2,81-79,,
4:27.0,,,81-79,,Turnover by P. Banchero (bad pass; steal by J. Jaquez)
4:24.0,J. Jaquez makes 2-pt layup from 3 ft (assist by B. Adebayo),+2,83-79,,
4:24.0,,,83-79,,Orlando full timeout
4:24.0,S. Fontecchio enters the game for N. Powell,,83-79,,
4:24.0,,,83-79,,A. Black enters the game for T. Jones
4:07.0,,,83-79,,D. Bane misses 2-pt layup from 4 ft
4:04.0,Defensive rebound by B. Adebayo,,83-79,,
3:51.0,D. Smith misses 3-pt jump shot from 23 ft,,83-79,,
3:51.0,Offensive rebound by B. Adebayo,,83-79,,
3:45.0,A. Wiggins misses 3-pt jump shot from 25 ft,,83-79,,
3:41.0,Offensive rebound by S. Fontecchio,,83-79,,
3:37.0,A. Wiggins misses 3-pt jump shot from 26 ft,,83-79,,
3:37.0,,,83-79,,Defensive rebound by Team
3:37.0,Loose ball foul by J. Jaquez (drawn by W. Carter),,83-79,,
3:15.0,,,83-81,+2,D. Bane makes 2-pt jump shot from 6 ft (assist by A. Black)
3:02.0,B. Adebayo makes 2-pt jump shot from 8 ft,+2,85-81,,
2:50.0,,,85-81,,Shooting foul by D. Smith (drawn by P. Banchero)
2:50.0,,,85-82,+1,P. Banchero makes free throw 1 of 2
2:50.0,N. Powell enters the game for A. Wiggins,,85-82,,
2:50.0,,,85-82,,G. Bitadze enters the game for D. Bane
2:50.0,,,85-82,,J. Suggs enters the game for W. Carter
2:50.0,,,85-82,,F. Wagner enters the game for J. Isaac
2:50.0,,,85-83,+1,P. Banchero makes free throw 2 of 2
2:38.0,S. Fontecchio misses 3-pt jump shot from 25 ft,,85-83,,
2:35.0,,,85-83,,Defensive rebound by A. Black
2:16.0,,,85-83,,Offensive foul by J. Suggs (drawn by D. Smith)
2:16.0,,,85-83,,Turnover by J. Suggs (offensive foul)
2:16.0,D. Mitchell enters the game for B. Adebayo,,85-83,,
2:16.0,K. Ware enters the game for D. Smith,,85-83,,
2:16.0,,,85-83,,T. Da Silva enters the game for P. Banchero
2:08.0,N. Powell misses 2-pt layup from 1 ft,,85-83,,
2:08.0,Offensive rebound by Team,,85-83,,
2:08.0,,,85-83,,Loose ball foul by G. Bitadze (drawn by K. Ware)
2:03.0,S. Fontecchio makes 2-pt dunk from 2 ft (assist by N. Powell),+2,87-83,,
1:42.0,,,87-85,+2,J. Suggs makes 2-pt layup from 2 ft (assist by F. Wagner)
1:22.0,Turnover by J. Jaquez (traveling),,87-85,,
1:13.0,,,87-87,+2,F. Wagner makes 2-pt jump shot from 1 ft
1:13.0,Violation by Team (def goaltending),,87-87,,
1:13.0,Miami full timeout,,87-87,,
0:59.0,K. Ware makes 2-pt dunk from 1 ft (assist by D. Mitchell),+2,89-87,,
0:45.0,,,89-87,,F. Wagner misses 2-pt jump shot from 13 ft
0:43.0,Defensive rebound by S. Fontecchio,,89-87,,
0:33.0,S. Fontecchio misses 2-pt layup from 6 ft,,89-87,,
0:31.0,,,89-87,,Defensive rebound by F. Wagner
0:25.0,,,89-90,+3,T. Da Silva makes 3-pt jump shot from 25 ft (assist by F. Wagner)
0:01.0,N. Powell makes 2-pt jump shot from 10 ft,+2,91-90,,
0:00.0,,,91-90,,Team misses heave shot
0:00.0,,,91-90,,Offensive rebound by Team
0:00.0,End of 3rd quarter,End of 3rd quarter,End of 3rd quarter,End of 3rd quarter,End of 3rd quarter
4th Q,4th Q,4th Q,4th Q,4th Q,4th Q
Time,Miami,,Score,,Orlando
12:00.0,Start of 4th quarter,Start of 4th quarter,Start of 4th quarter,Start of 4th quarter,Start of 4th quarter
11:49.0,,,91-90,,F. Wagner misses 2-pt layup from 7 ft (block by K. Ware)
11:45.0,Defensive rebound by K. Ware,,91-90,,
11:42.0,N. Powell misses 3-pt jump shot from 26 ft,,91-90,,
11:38.0,Offensive rebound by D. Mitchell,,91-90,,
11:37.0,N. Powell makes 3-pt jump shot from 27 ft (assist by D. Mitchell),+3,94-90,,
11:17.0,,,94-92,+2,G. Bitadze makes 2-pt layup from 1 ft (assist by F. Wagner)
10:57.0,S. Fontecchio makes 3-pt jump shot from 29 ft (assist by D. Mitchell),+3,97-92,,
10:39.0,,,97-94,+2,F. Wagner makes 2-pt layup from 2 ft
10:23.0,D. Mitchell misses 2-pt jump shot from 8 ft,,97-94,,
10:20.0,,,97-94,,Defensive rebound by A. Black
10:14.0,,,97-94,,F. Wagner misses 3-pt jump shot from 26 ft
10:14.0,Defensive rebound by D. Mitchell,,97-94,,
10:06.0,J. Jaquez makes 2-pt layup from 4 ft (assist by D. Mitchell),+2,99-94,,
9:55.0,,,99-94,,G. Bitadze misses 3-pt jump shot from 24 ft
9:55.0,Defensive rebound by J. Jaquez,,99-94,,
9:50.0,Shooting foul by F. Wagner (drawn by N. Powell),,99-94,,
9:50.0,N. Powell makes free throw 1 of 2,+1,100-94,,
9:50.0,N. Powell makes free throw 2 of 2,+1,101-94,,
9:33.0,,,101-97,+3,T. Da Silva makes 3-pt jump shot from 24 ft (assist by F. Wagner)
9:20.0,J. Jaquez makes 2-pt jump shot from 16 ft,+2,103-97,,
9:04.0,,,103-97,,A. Black misses 2-pt jump shot from 21 ft
9:01.0,Defensive rebound by J. Jaquez,,103-97,,
