1st Q,1st Q.1,1st Q.2,1st Q.3,1st Q.4,1st Q.5,table
8:41.0,,,6-10,+3,L. Ball makes 3-pt jump shot from 28 ft (assist by B. Miller),pbp
8:28.0,M. Porter makes 3-pt jump shot from 24 ft (assist by B. Saraf),+3,9-10,,,pbp
8:16.0,,,9-10,,B. Miller misses 3-pt jump shot from 27 ft,pbp
8:13.0,Defensive rebound by B. Saraf,,9-10,,,pbp
8:11.0,Turnover by T. Mann (step out of bounds),,9-10,,,pbp
7:53.0,,,9-10,,L. Ball misses 2-pt jump shot from 13 ft,pbp
7:51.0,Defensive rebound by B. Saraf,,9-10,,,pbp
7:43.0,M. Porter misses 2-pt layup from 11 ft,,9-10,,,pbp
7:43.0,Offensive rebound by Team,,9-10,,,pbp
7:43.0,,,9-10,,Loose ball foul by B. Miller (drawn by T. Mann),pbp
7:43.0,,,9-10,,C. Sexton enters the game for B. Miller,pbp
7:29.0,N. Claxton makes 2-pt layup from 1 ft (assist by M. Porter),+2,11-10,,,pbp
7:22.0,,,11-10,,Personal foul by C. Thomas (drawn by R. Kalkbrenner),pbp
7:19.0,,,11-10,,Shooting foul by B. Saraf (drawn by C. Sexton),pbp
7:19.0,,,11-11,+1,C. Sexton makes free throw 1 of 2,pbp
7:19.0,,,11-12,+1,C. Sexton makes free throw 2 of 2,pbp
7:08.0,M. Porter makes 3-pt jump shot from 25 ft (assist by B. Saraf),+3,14-12,,,pbp
7:08.0,,,14-12,,Charlotte full timeout,pbp
7:08.0,,,14-12,,S. James enters the game for K. Knueppel,pbp
6:52.0,,,14-14,+2,R. Kalkbrenner makes 2-pt layup from 3 ft (assist by C. Sexton),pbp
6:40.0,N. Claxton misses 2-pt layup from 6 ft,,14-14,,,pbp
6:35.0,Offensive rebound by T. Mann,,14-14,,,pbp
6:35.0,T. Mann makes 2-pt layup at rim,+2,16-14,,,pbp
6:31.0,,,16-16,+2,R. Kalkbrenner makes 2-pt layup from 3 ft (assist by M. Bridges),pbp
6:17.0,C. Thomas makes 2-pt jump shot from 6 ft (assist by N. Claxton),+2,18-16,,,pbp
6:03.0,,,18-16,,L. Ball misses 2-pt layup from 7 ft (block by C. Thomas),pbp
5:59.0,,,18-16,,Offensive rebound by L. Ball,pbp
5:58.0,,,18-18,+2,R. Kalkbrenner makes 2-pt dunk from 3 ft (assist by L. Ball),pbp
5:44.0,M. Porter misses 2-pt layup from 3 ft (block by S. James),,18-18,,,pbp
5:41.0,,,18-18,,Defensive rebound by S. James,pbp
5:34.0,,,18-18,,L. Ball misses 2-pt jump shot from 4 ft,pbp
5:32.0,,,18-18,,Offensive rebound by R. Kalkbrenner,pbp
5:29.0,,,18-18,,C. Sexton misses 2-pt jump shot from 20 ft,pbp
5:26.0,Defensive rebound by N. Claxton,,18-18,,,pbp
5:18.0,Shooting foul by R. Kalkbrenner (drawn by M. Porter),,18-18,,,pbp
5:18.0,M. Porter misses free throw 1 of 2,,18-18,,,pbp
5:18.0,Offensive rebound by Team,,18-18,,,pbp
5:18.0,E. Dёmin enters the game for N. Claxton,,18-18,,,pbp
5:18.0,D. Sharpe enters the game for T. Mann,,18-18,,,pbp
5:18.0,Z. Williams enters the game for B. Saraf,,18-18,,,pbp
5:18.0,,,18-18,,M. Diabaté enters the game for R. Kalkbrenner,pbp
5:18.0,M. Porter misses free throw 2 of 2,,18-18,,,pbp
5:14.0,,,18-18,,Defensive rebound by S. James,pbp
5:05.0,,,18-18,,M. Bridges misses 2-pt jump shot from 5 ft,pbp
5:03.0,Defensive rebound by D. Sharpe,,18-18,,,pbp
4:58.0,Shooting foul by C. Sexton (drawn by C. Thomas),,18-18,,,pbp
4:58.0,C. Thomas makes free throw 1 of 3,+1,19-18,,,pbp
4:58.0,C. Thomas makes free throw 2 of 3,+1,20-18,,,pbp
4:58.0,N. Clowney enters the game for M. Porter,,20-18,,,pbp
4:58.0,,,20-18,,T. Salaün enters the game for M. Bridges,pbp
4:58.0,C. Thomas makes free throw 3 of 3,+1,21-18,,,pbp
4:37.0,,,21-18,,T. Salaün misses 2-pt hook shot from 4 ft,pbp
4:36.0,,,21-18,,Offensive rebound by M. Diabaté,pbp
4:34.0,,,21-18,,L. Ball misses 3-pt jump shot from 25 ft,pbp
4:31.0,,,21-18,,Offensive rebound by S. James,pbp
4:29.0,,,21-20,+2,S. James makes 2-pt dunk from 2 ft,pbp
4:28.0,Brooklyn full timeout,,21-20,,,pbp
4:15.0,Shooting foul by S. James (drawn by C. Thomas),,21-20,,,pbp
4:15.0,C. Thomas makes free throw 1 of 2,+1,22-20,,,pbp
4:15.0,C. Thomas misses free throw 2 of 2,,22-20,,,pbp
4:12.0,,,22-20,,Defensive rebound by M. Diabaté,pbp
4:01.0,,,22-22,+2,L. Ball makes 2-pt layup from 2 ft,pbp
3:42.0,C. Thomas misses 2-pt jump shot from 19 ft,,22-22,,,pbp
3:42.0,Offensive rebound by Team,,22-22,,,pbp
3:42.0,,,22-22,,Loose ball foul by M. Diabaté (drawn by D. Sharpe),pbp
3:42.0,D. Sharpe makes free throw 1 of 2,+1,23-22,,,pbp
3:42.0,T. Martin enters the game for C. Thomas,,23-22,,,pbp
3:42.0,D. Sharpe misses free throw 2 of 2,,23-22,,,pbp
3:38.0,,,23-22,,Defensive rebound by C. Sexton,pbp
3:33.0,,,23-24,+2,C. Sexton makes 2-pt layup from 3 ft,pbp
3:23.0,Z. Williams misses 3-pt jump shot from 28 ft,,23-24,,,pbp
3:20.0,,,23-24,,Defensive rebound by Team,pbp
3:05.0,,,23-24,,C. Sexton misses 2-pt jump shot from 8 ft,pbp
3:03.0,Defensive rebound by Z. Williams,,23-24,,,pbp
2:48.0,D. Sharpe makes 2-pt layup from 2 ft (assist by T. Martin),+2,25-24,,,pbp
2:39.0,,,25-27,+3,C. Sexton makes 3-pt jump shot from 24 ft (assist by L. Ball),pbp
2:25.0,Personal foul by T. Salaün (drawn by E. Dёmin),,25-27,,,pbp
2:25.0,E. Dёmin makes free throw 1 of 2,+1,26-27,,,pbp
2:25.0,,,26-27,,K. Knueppel enters the game for L. Ball,pbp
2:25.0,,,26-27,,T. Mann enters the game for S. James,pbp
2:25.0,E. Dёmin makes free throw 2 of 2,+1,27-27,,,pbp
2:11.0,,,27-29,+2,M. Diabaté makes 2-pt hook shot from 8 ft (assist by T. Mann),pbp
1:57.0,D. Sharpe makes 2-pt layup from 3 ft (assist by E. Dёmin),+2,29-29,,,pbp
1:46.0,,,29-32,+3,K. Knueppel makes 3-pt jump shot from 26 ft (assist by T. Mann),pbp
1:30.0,N. Clowney misses 2-pt layup from 4 ft,,29-32,,,pbp
1:27.0,,,29-32,,Defensive rebound by K. Knueppel,pbp
1:24.0,,,29-32,,Turnover by M. Diabaté (traveling),pbp
1:11.0,Turnover by D. Sharpe (bad pass; steal by T. Mann),,29-32,,,pbp
1:08.0,,,29-34,+2,M. Diabaté makes 2-pt layup from 4 ft (assist by T. Mann),pbp
1:07.0,Brooklyn full timeout,,29-34,,,pbp
0:58.0,Turnover by E. Dёmin (lost ball; steal by C. Sexton),,29-34,,,pbp
0:55.0,,,29-36,+2,T. Mann makes 2-pt layup from 2 ft,pbp
0:55.0,D. Sharpe makes 2-pt dunk from 1 ft (assist by Z. Williams),+2,31-36,,,pbp
0:51.0,,,31-36,,Shooting foul by E. Dёmin (drawn by C. Sexton),pbp
0:51.0,,,31-37,+1,C. Sexton makes free throw 1 of 2,pbp
0:51.0,,,31-37,,M. Bridges enters the game for T. Salaün,pbp
0:51.0,,,31-38,+1,C. Sexton makes free throw 2 of 2,pbp
0:39.0,Offensive foul by D. Sharpe (drawn by T. Mann),,31-38,,,pbp
0:39.0,Turnover by D. Sharpe (offensive foul),,31-38,,,pbp
0:28.0,,,31-38,,Turnover by T. Mann (bad pass; steal by T. Martin),pbp
0:24.0,Turnover by T. Martin (lost ball; steal by M. Diabaté),,31-38,,,pbp
0:09.0,,,31-38,,Turnover by K. Knueppel (traveling),pbp
0:09.0,C. Thomas enters the game for E. Dёmin,,31-38,,,pbp
0:03.0,Personal foul by K. Knueppel (drawn by Z. Williams),,31-38,,,pbp
0:03.0,Brooklyn full timeout,,31-38,,,pbp
0:03.0,Instant Replay (Challenge: Ruling Stands),,31-38,,,pbp
0:03.0,Z. Williams makes free throw 1 of 2,+1,32-38,,,pbp
0:03.0,Z. Williams misses free throw 2 of 2,,32-38,,,pbp
0:03.0,,,32-38,,Defensive rebound by M. Bridges,pbp
0:00.0,,,32-38,,Team misses heave shot,pbp
0:00.0,,,32-38,,Offensive rebound by Team,pbp
0:00.0,End of 1st quarter,End of 1st quarter,End of 1st quarter,End of 1st quarter,End of 1st quarter,pbp
2nd Q,2nd Q,2nd Q,2nd Q,2nd Q,2nd Q,pbp
Time,Brooklyn,,Score,,Charlotte,pbp
12:00.0,Start of 2nd quarter,Start of 2nd quarter,Start of 2nd quarter,Start of 2nd quarter,Start of 2nd quarter,pbp
11:39.0,,,32-41,+3,M. Bridges makes 3-pt jump shot from 23 ft (assist by B. Miller),pbp
11:20.0,Personal foul by M. Bridges (drawn by N. Claxton),,32-41,,,pbp
11:13.0,E. Dёmin makes 3-pt jump shot from 26 ft,+3,35-41,,,pbp
11:00.0,,,35-41,,B. Miller misses 2-pt jump shot from 13 ft,pbp
10:57.0,Defensive rebound by M. Porter,,35-41,,,pbp
10:46.0,M. Porter misses 3-pt jump shot from 25 ft,,35-41,,,pbp
10:41.0,Offensive rebound by T. Martin,,35-41,,,pbp
10:37.0,T. Martin misses 3-pt jump shot from 23 ft,,35-41,,,pbp
10:35.0,Offensive rebound by N. Clowney,,35-41,,,pbp
10:35.0,Personal foul by K. Knueppel (drawn by N. Clowney),,35-41,,,pbp
10:35.0,,,35-41,,S. James enters the game for K. Knueppel,pbp
10:29.0,N. Claxton makes 2-pt layup from 1 ft (assist by T. Martin),+2,37-41,,,pbp
10:29.0,Shooting foul by S. James (drawn by N. Claxton),,37-41,,,pbp
10:29.0,N. Claxton misses free throw 1 of 1,,37-41,,,pbp
10:26.0,,,37-41,,Defensive rebound by M. Bridges,pbp
10:16.0,,,37-41,,M. Bridges misses 3-pt jump shot from 23 ft,pbp
10:16.0,Defensive rebound by N. Claxton,,37-41,,,pbp
10:06.0,N. Claxton makes 2-pt layup from 2 ft (assist by T. Martin),+2,39-41,,,pbp
10:06.0,Shooting foul by R. Kalkbrenner (drawn by N. Claxton),,39-41,,,pbp
10:06.0,N. Claxton makes free throw 1 of 1,+1,40-41,,,pbp
9:43.0,,,40-44,+3,B. Miller makes 3-pt jump shot from 26 ft (assist by R. Kalkbrenner),pbp
9:27.0,M. Porter misses 2-pt jump shot from 9 ft,,40-44,,,pbp
9:24.0,Offensive rebound by N. Claxton,,40-44,,,pbp
9:24.0,N. Claxton makes 2-pt layup at rim,+2,42-44,,,pbp
9:13.0,,,42-44,,Shooting foul by M. Porter (drawn by T. Mann),pbp
9:13.0,,,42-44,,M. Diabaté enters the game for R. Kalkbrenner,pbp
9:13.0,,,42-45,+1,T. Mann makes free throw 1 of 2,pbp
9:13.0,,,42-45,,T. Salaün enters the game for M. Bridges,pbp
9:13.0,,,42-46,+1,T. Mann makes free throw 2 of 2,pbp
8:59.0,M. Porter misses 3-pt jump shot from 25 ft,,42-46,,,pbp
8:58.0,,,42-46,,Defensive rebound by Team,pbp
8:51.0,,,42-46,,Personal foul by N. Clowney (drawn by B. Miller),pbp
8:39.0,,,42-46,,B. Miller misses 3-pt jump shot from 30 ft,pbp
8:36.0,Defensive rebound by E. Dёmin,,42-46,,,pbp
8:31.0,E. Dёmin misses 3-pt jump shot from 28 ft,,42-46,,,pbp
8:28.0,,,42-46,,Defensive rebound by Team,pbp
8:16.0,,,42-48,+2,M. Diabaté makes 2-pt jump shot from 10 ft (assist by B. Miller),pbp
7:57.0,N. Clowney misses 2-pt layup from 3 ft,,42-48,,,pbp
7:55.0,,,42-48,,Defensive rebound by M. Diabaté,pbp
7:48.0,,,42-51,+3,T. Salaün makes 3-pt jump shot from 29 ft (assist by S. James),pbp
7:40.0,Brooklyn full timeout,,42-51,,,pbp
7:40.0,T. Mann enters the game for N. Claxton,,42-51,,,pbp
7:40.0,B. Saraf enters the game for N. Clowney,,42-51,,,pbp
7:40.0,D. Sharpe enters the game for E. Dёmin,,42-51,,,pbp
7:40.0,C. Thomas enters the game for T. Martin,,42-51,,,pbp
7:40.0,,,42-51,,L. Ball enters the game for T. Mann,pbp
7:21.0,D. Sharpe makes 3-pt jump shot from 25 ft (assist by M. Porter),+3,45-51,,,pbp
7:01.0,,,45-54,+3,B. Miller makes 3-pt jump shot from 22 ft (assist by T. Salaün ),pbp
6:43.0,C. Thomas makes 2-pt layup from 5 ft (assist by M. Porter),+2,47-54,,,pbp
6:37.0,,,47-54,,Shooting foul by D. Sharpe (drawn by B. Miller),pbp
6:37.0,,,47-55,+1,B. Miller makes free throw 1 of 2,pbp
6:37.0,T. Martin enters the game for M. Porter,,47-55,,,pbp
6:37.0,,,47-56,+1,B. Miller makes free throw 2 of 2,pbp
6:29.0,Shooting foul by M. Diabaté (drawn by B. Saraf),,47-56,,,pbp
6:29.0,B. Saraf misses free throw 1 of 2,,47-56,,,pbp
6:29.0,Offensive rebound by Team,,47-56,,,pbp
6:29.0,,,47-56,,C. Sexton enters the game for S. James,pbp
6:29.0,B. Saraf makes free throw 2 of 2,+1,48-56,,,pbp
6:16.0,,,48-56,,B. Miller misses 2-pt jump shot from 12 ft,pbp
6:11.0,Defensive rebound by B. Saraf,,48-56,,,pbp
5:53.0,Personal foul by T. Salaün (drawn by C. Thomas),,48-56,,,pbp
5:53.0,C. Thomas makes free throw 1 of 2,+1,49-56,,,pbp
5:53.0,C. Thomas makes free throw 2 of 2,+1,50-56,,,pbp
5:37.0,,,50-56,,L. Ball misses 3-pt jump shot from 29 ft,pbp
5:34.0,Defensive rebound by C. Thomas,,50-56,,,pbp
5:19.0,D. Sharpe makes 2-pt hook shot from 5 ft (assist by C. Thomas),+2,52-56,,,pbp
5:14.0,,,52-56,,T. Salaün misses 2-pt layup from 4 ft,pbp
5:14.0,,,52-56,,Offensive rebound by Team,pbp
5:14.0,Loose ball foul by T. Mann (drawn by L. Ball),,52-56,,,pbp
5:14.0,Z. Williams enters the game for T. Martin,,52-56,,,pbp
5:14.0,,,52-56,,M. Bridges enters the game for M. Diabaté,pbp
5:14.0,,,52-56,,R. Kalkbrenner enters the game for T. Salaün,pbp
5:06.0,,,52-56,,Shooting foul by T. Mann (drawn by L. Ball),pbp
5:06.0,,,52-56,,L. Ball misses free throw 1 of 2,pbp
5:06.0,,,52-56,,Offensive rebound by Team,pbp
5:06.0,,,52-57,+1,L. Ball makes free throw 2 of 2,pbp
4:54.0,Turnover by C. Thomas (traveling),,52-57,,,pbp
4:34.0,,,52-60,+3,L. Ball makes 3-pt jump shot from 23 ft (assist by C. Sexton),pbp
4:22.0,D. Sharpe misses 3-pt jump shot from 26 ft,,52-60,,,pbp
4:19.0,,,52-60,,Defensive rebound by M. Bridges,pbp
4:09.0,,,52-62,+2,M. Bridges makes 2-pt dunk from 3 ft (assist by L. Ball),pbp
3:55.0,B. Saraf makes 2-pt jump shot from 11 ft,+2,54-62,,,pbp
3:48.0,,,54-62,,Shooting foul by D. Sharpe (drawn by B. Miller),pbp
3:48.0,,,54-62,,B. Miller misses free throw 1 of 2,pbp
3:48.0,,,54-62,,Offensive rebound by Team,pbp
3:48.0,N. Claxton enters the game for D. Sharpe,,54-62,,,pbp
3:48.0,,,54-63,+1,B. Miller makes free throw 2 of 2,pbp
3:38.0,Z. Williams misses 3-pt jump shot from 27 ft,,54-63,,,pbp
3:35.0,,,54-63,,Defensive rebound by Team,pbp
3:35.0,Loose ball foul by T. Mann (drawn by C. Sexton),,54-63,,,pbp
3:35.0,,,54-63,,C. Sexton misses free throw 1 of 2,pbp
3:35.0,,,54-63,,Offensive rebound by Team,pbp
3:35.0,M. Porter enters the game for T. Mann,,54-63,,,pbp
3:35.0,,,54-63,,S. James enters the game for B. Miller,pbp
3:35.0,,,54-64,+1,C. Sexton makes free throw 2 of 2,pbp
3:28.0,Personal foul by C. Sexton (drawn by C. Thomas),,54-64,,,pbp
3:28.0,C. Thomas makes free throw 1 of 2,+1,55-64,,,pbp
3:28.0,,,55-64,,Violation by Team (delay of game),pbp
3:28.0,,,55-64,,Charlotte full timeout,pbp
3:28.0,,,55-64,,K. Knueppel enters the game for S. James,pbp
3:28.0,,,55-64,,B. Miller enters the game for C. Sexton,pbp
3:28.0,Violation by Team (delay of game),,55-64,,,pbp
3:28.0,C. Thomas misses free throw 2 of 2,,55-64,,,pbp
3:25.0,,,55-64,,Defensive rebound by M. Bridges,pbp
3:14.0,,,55-66,+2,B. Miller makes 2-pt dunk from 2 ft (assist by L. Ball),pbp
3:04.0,Personal foul by L. Ball (drawn by B. Saraf),,55-66,,,pbp
3:04.0,B. Saraf makes free throw 1 of 2,+1,56-66,,,pbp
3:04.0,B. Saraf misses free throw 2 of 2,,56-66,,,pbp
2:51.0,,,56-66,,Defensive rebound by M. Bridges,pbp
2:30.0,,,56-66,,L. Ball misses 2-pt jump shot from 15 ft,pbp
2:28.0,Defensive rebound by M. Porter,,56-66,,,pbp
2:19.0,B. Saraf misses 2-pt layup from 3 ft (block by R. Kalkbrenner),,56-66,,,pbp
2:16.0,,,56-66,,Defensive rebound by R. Kalkbrenner,pbp
2:13.0,,,56-68,+2,M. Bridges makes 2-pt dunk from 1 ft (assist by L. Ball),pbp
2:02.0,Personal foul by K. Knueppel (drawn by C. Thomas),,56-68,,,pbp
2:02.0,C. Thomas makes free throw 1 of 2,+1,57-68,,,pbp
2:02.0,,,57-68,,T. Mann enters the game for K. Knueppel,pbp
2:02.0,C. Thomas makes free throw 2 of 2,+1,58-68,,,pbp
1:58.0,,,58-68,,Personal foul by Z. Williams (drawn by L. Ball),pbp
1:58.0,,,58-68,,L. Ball misses free throw 1 of 2,pbp
1:58.0,,,58-68,,Offensive rebound by Team,pbp
1:58.0,,,58-69,+1,L. Ball makes free throw 2 of 2,pbp
1:47.0,Turnover by C. Thomas (bad pass; steal by B. Miller),,58-69,,,pbp
1:43.0,,,58-71,+2,B. Miller makes 2-pt dunk from 2 ft (assist by L. Ball),pbp
1:30.0,C. Thomas misses 3-pt jump shot from 25 ft,,58-71,,,pbp
1:27.0,,,58-71,,Defensive rebound by T. Mann,pbp
1:21.0,,,58-73,+2,M. Bridges makes 2-pt jump shot from 8 ft (assist by T. Mann),pbp
1:21.0,,,58-73,,M. Diabaté enters the game for R. Kalkbrenner,pbp
0:57.0,M. Porter misses 3-pt jump shot from 26 ft,,58-73,,,pbp
0:55.0,Offensive rebound by B. Saraf,,58-73,,,pbp
0:50.0,N. Claxton makes 2-pt layup from 3 ft (assist by M. Porter),+2,60-73,,,pbp
0:34.0,,,60-73,,Shooting foul by B. Saraf (drawn by B. Miller),pbp
0:34.0,,,60-74,+1,B. Miller makes free throw 1 of 2,pbp
0:34.0,,,60-75,+1,B. Miller makes free throw 2 of 2,pbp
0:15.0,B. Saraf misses 2-pt layup from 3 ft (block by M. Diabaté),,60-75,,,pbp
0:11.0,,,60-75,,Defensive rebound by M. Diabaté,pbp
0:11.0,,,60-77,+2,M. Diabaté makes 2-pt dunk from 2 ft,pbp
0:00.0,C. Thomas misses 2-pt layup from 2 ft,,60-77,,,pbp
0:00.0,,,60-77,,Defensive rebound by M. Bridges,pbp
0:00.0,End of 2nd quarter,End of 2nd quarter,End of 2nd quarter,End of 2nd quarter,End of 2nd quarter,pbp
3rd Q,3rd Q,3rd Q,3rd Q,3rd Q,3rd Q,pbp
Time,Brooklyn,,Score,,Charlotte,pbp
12:00.0,Start of 3rd quarter,Start of 3rd quarter,Start of 3rd quarter,Start of 3rd quarter,Start of 3rd quarter,pbp
11:43.0,,,60-79,+2,R. Kalkbrenner makes 2-pt layup from 1 ft (assist by M. Bridges),pbp
11:21.0,B. Saraf misses 3-pt jump shot from 23 ft,,60-79,,,pbp
11:18.0,,,60-79,,Defensive rebound by R. Kalkbrenner,pbp
11:10.0,,,60-79,,B. Miller misses 3-pt jump shot from 25 ft,pbp
11:08.0,Defensive rebound by B. Saraf,,60-79,,,pbp
11:04.0,T. Mann makes 2-pt layup from 3 ft,+2,62-79,,,pbp
11:04.0,Shooting foul by B. Miller (drawn by T. Mann),,62-79,,,pbp
11:04.0,T. Mann makes free throw 1 of 1,+1,63-79,,,pbp
10:46.0,,,63-81,+2,B. Miller makes 2-pt layup from 3 ft,pbp
10:33.0,M. Porter misses 2-pt jump shot from 8 ft,,63-81,,,pbp
10:29.0,,,63-81,,Defensive rebound by L. Ball,pbp
10:22.0,,,63-81,,B. Miller misses 3-pt jump shot from 24 ft,pbp
10:19.0,Defensive rebound by M. Porter,,63-81,,,pbp
10:08.0,M. Porter makes 2-pt layup from 3 ft (assist by N. Claxton),+2,65-81,,,pbp
9:55.0,,,65-84,+3,M. Bridges makes 3-pt jump shot from 23 ft (assist by B. Miller),pbp
9:41.0,T. Mann misses 2-pt layup from 4 ft,,65-84,,,pbp
9:39.0,,,65-84,,Defensive rebound by K. Knueppel,pbp
9:34.0,,,65-87,+3,K. Knueppel makes 3-pt jump shot from 25 ft (assist by L. Ball),pbp
9:34.0,Brooklyn full timeout,,65-87,,,pbp
9:34.0,T. Martin enters the game for M. Porter,,65-87,,,pbp
9:34.0,J. Wilson enters the game for C. Thomas,,65-87,,,pbp
9:34.0,Instant Replay,,65-87,,,pbp
9:14.0,T. Martin makes 3-pt jump shot from 32 ft (assist by T. Mann),+3,68-87,,,pbp
8:59.0,,,68-87,,L. Ball misses 3-pt jump shot from 28 ft,pbp
8:58.0,,,68-87,,Offensive rebound by R. Kalkbrenner,pbp
8:56.0,,,68-90,+3,K. Knueppel makes 3-pt jump shot from 26 ft (assist by B. Miller),pbp
8:35.0,B. Saraf misses 3-pt jump shot from 23 ft,,68-90,,,pbp
8:33.0,Offensive rebound by T. Martin,,68-90,,,pbp
8:29.0,T. Mann makes 3-pt jump shot from 26 ft (assist by T. Martin),+3,71-90,,,pbp
8:13.0,,,71-90,,K. Knueppel misses 3-pt jump shot from 26 ft,pbp
8:09.0,Defensive rebound by B. Saraf,,71-90,,,pbp
8:02.0,B. Saraf misses 3-pt jump shot from 27 ft,,71-90,,,pbp
7:56.0,Offensive rebound by N. Claxton,,71-90,,,pbp
7:56.0,N. Claxton makes 2-pt layup at rim,+2,73-90,,,pbp
7:48.0,,,73-90,,Turnover by R. Kalkbrenner (bad pass; steal by T. Martin),pbp
7:43.0,J. Wilson makes 3-pt jump shot from 25 ft (assist by B. Saraf),+3,76-90,,,pbp
7:43.0,,,76-90,,Charlotte full timeout,pbp
7:31.0,,,76-90,,Offensive foul by R. Kalkbrenner (drawn by T. Mann),pbp
7:31.0,,,76-90,,Turnover by R. Kalkbrenner (offensive foul),pbp
7:31.0,,,76-90,,M. Diabaté enters the game for R. Kalkbrenner,pbp
7:18.0,Turnover by T. Martin (out of bounds lost ball),,76-90,,,pbp
7:07.0,,,76-92,+2,B. Miller makes 2-pt jump shot from 3 ft,pbp
7:07.0,,,76-92,,Shooting foul by T. Martin (drawn by B. Miller),pbp
7:07.0,,,76-93,+1,B. Miller makes free throw 1 of 1,pbp
6:46.0,N. Claxton makes 2-pt hook shot from 10 ft,+2,78-93,,,pbp
6:37.0,,,78-95,+2,M. Diabaté makes 2-pt jump shot from 9 ft (assist by B. Miller),pbp
6:27.0,Shooting foul by B. Miller (drawn by B. Saraf),,78-95,,,pbp
6:27.0,B. Saraf makes free throw 1 of 2,+1,79-95,,,pbp
6:27.0,Z. Williams enters the game for T. Mann,,79-95,,,pbp
6:27.0,,,79-95,,C. Sexton enters the game for B. Miller,pbp
6:27.0,B. Saraf makes free throw 2 of 2,+1,80-95,,,pbp
6:21.0,,,80-95,,Personal foul by J. Wilson (drawn by L. Ball),pbp
6:21.0,E. Dёmin enters the game for N. Claxton,,80-95,,,pbp
6:21.0,D. Sharpe enters the game for B. Saraf,,80-95,,,pbp
6:11.0,,,80-98,+3,L. Ball makes 3-pt jump shot from 28 ft,pbp
5:57.0,Offensive foul by D. Sharpe (drawn by C. Sexton),,80-98,,,pbp
5:57.0,Turnover by D. Sharpe (offensive foul),,80-98,,,pbp
5:44.0,,,80-98,,Turnover by C. Sexton (bad pass; steal by D. Sharpe),pbp
5:44.0,Turnover by D. Sharpe (bad pass),,80-98,,,pbp
5:40.0,,,80-98,,Turnover by K. Knueppel (bad pass; steal by E. Dёmin),pbp
5:38.0,Personal foul by L. Ball (drawn by E. Dёmin),,80-98,,,pbp
5:29.0,T. Martin misses 2-pt layup from 6 ft,,80-98,,,pbp
5:24.0,Offensive rebound by D. Sharpe,,80-98,,,pbp
5:24.0,D. Sharpe makes 2-pt layup from 3 ft,+2,82-98,,,pbp
5:08.0,,,82-98,,C. Sexton misses 3-pt jump shot from 25 ft,pbp
