1st Q,1st Q.1,1st Q.2,1st Q.3,1st Q.4,1st Q.5,table
3:15.0,,,43-53,+3,L. Shamet makes 3-pt jump shot from 23 ft (assist by M. Bridges),pbp
2:57.0,D. Wade makes 3-pt jump shot from 26 ft (assist by E. Mobley),+3,46-53,,,pbp
2:40.0,,,46-53,,L. Shamet misses 2-pt layup from 1 ft,pbp
2:39.0,,,46-53,,Offensive rebound by M. McBride,pbp
2:38.0,,,46-53,,Shooting foul by D. Wade (drawn by M. McBride),pbp
2:38.0,,,46-53,,M. McBride misses free throw 1 of 2,pbp
2:38.0,,,46-53,,Offensive rebound by Team,pbp
2:38.0,,,46-53,,K. Towns enters the game for L. Shamet,pbp
2:38.0,,,46-54,+1,M. McBride makes free throw 2 of 2,pbp
2:26.0,E. Mobley misses 2-pt jump shot from 9 ft,,46-54,,,pbp
2:25.0,Offensive rebound by Team,,46-54,,,pbp
2:16.0,S. Merrill misses 3-pt jump shot from 25 ft,,46-54,,,pbp
2:13.0,,,46-54,,Defensive rebound by O. Anunoby,pbp
2:08.0,,,46-57,+3,O. Anunoby makes 3-pt jump shot from 27 ft (assist by J. Brunson),pbp
1:59.0,Turnover by L. Ball (bad pass),,46-57,,,pbp
1:51.0,,,46-57,,Shooting foul by S. Merrill (drawn by J. Brunson),pbp
1:51.0,,,46-58,+1,J. Brunson makes free throw 1 of 3,pbp
1:51.0,,,46-59,+1,J. Brunson makes free throw 2 of 3,pbp
1:51.0,J. Allen enters the game for D. Wade,,46-59,,,pbp
1:51.0,,,46-60,+1,J. Brunson makes free throw 3 of 3,pbp
1:42.0,Turnover by J. Allen (bad pass),,46-60,,,pbp
1:36.0,,,46-60,,M. Bridges misses 3-pt jump shot from 26 ft,pbp
1:33.0,Defensive rebound by J. Allen,,46-60,,,pbp
1:27.0,Shooting foul by J. Brunson (drawn by E. Mobley),,46-60,,,pbp
1:27.0,E. Mobley misses free throw 1 of 2,,46-60,,,pbp
1:27.0,Offensive rebound by Team,,46-60,,,pbp
1:27.0,E. Mobley misses free throw 2 of 2,,46-60,,,pbp
1:25.0,,,46-60,,Defensive rebound by K. Towns,pbp
1:12.0,,,46-60,,Turnover by O. Anunoby (bad pass; steal by E. Mobley),pbp
1:02.0,J. Allen misses 2-pt layup from 1 ft,,46-60,,,pbp
1:00.0,,,46-60,,Defensive rebound by O. Anunoby,pbp
