1st Q,1st Q.1,1st Q.2,1st Q.3,1st Q.4,1st Q.5
Time,Houston,,Score,,Oklahoma City
12:00.0,Jump ball: S. Adams vs. C. Holmgren (A. Thompson gains possession),Jump ball: S. Adams vs. C. Holmgren (A. Thompson gains possession),Jump ball: S. Adams vs. C. Holmgren (A. Thompson gains possession),Jump ball: S. Adams vs. C. Holmgren (A. Thompson gains possession),Jump ball: S. Adams vs. C. Holmgren (A. Thompson gains possession)
0:46.0,T. Eason misses 2-pt layup from 2 ft (block by S. Gilgeous-Alexander),,30-27,,
0:45.0,Offensive rebound by Team,,30-27,,
0:37.0,K. Durant misses 3-pt jump shot from 26 ft,,30-27,,
0:34.0,Offensive rebound by A. Şengün,,30-27,,
0:19.0,A. Şengün misses 2-pt jump shot from 20 ft,,30-27,,
0:17.0,,,30-27,,Defensive rebound by A. Caruso
0:09.0,,,30-27,,Turnover by S. Gilgeous-Alexander (bad pass; steal by C. Capela)
0:05.0,Offensive foul by T. Eason (drawn by J. Williams),,30-27,,
0:05.0,Turnover by T. Eason (offensive foul),,30-27,,
0:05.0,J. Okogie enters the game for C. Capela,,30-27,,
0:05.0,A. Thompson enters the game for R. Sheppard,,30-27,,
0:05.0,,,30-27,,A. Mitchell enters the game for B. Barnhizer
0:05.0,,,30-27,,C. Youngblood enters the game for A. Caruso
0:00.0,,,30-27,,Turnover by A. Wiggins (lost ball; steal by A. Thompson)
0:00.0,End of 1st quarter,End of 1st quarter,End of 1st quarter,End of 1st quarter,End of 1st quarter
2nd Q,2nd Q,2nd Q,2nd Q,2nd Q,2nd Q
Time,Houston,,Score,,Oklahoma City
12:00.0,Start of 2nd quarter,Start of 2nd quarter,Start of 2nd quarter,Start of 2nd quarter,Start of 2nd quarter
11:40.0,,,30-27,,Turnover by C. Holmgren (traveling)
11:16.0,A. Thompson misses 3-pt jump shot from 25 ft,,30-27,,
11:13.0,,,30-27,,Defensive rebound by I. Hartenstein
11:09.0,,,30-29,+2,C. Holmgren makes 2-pt layup from 2 ft (assist by A. Mitchell)
11:09.0,,,30-29,,Shooting foul by A. Şengün (drawn by C. Holmgren)
11:09.0,Houston full timeout,,30-29,,
11:09.0,,,30-30,+1,C. Holmgren makes free throw 1 of 1
10:48.0,Turnover by A. Şengün (lost ball; steal by I. Hartenstein),,30-30,,
10:38.0,,,30-30,,Turnover by I. Hartenstein (bad pass)
10:21.0,J. Okogie makes 3-pt jump shot from 24 ft (assist by A. Şengün),+3,33-30,,
10:01.0,,,33-32,+2,A. Wiggins makes 2-pt layup from 3 ft (assist by I. Hartenstein)
9:52.0,A. Şengün makes 3-pt jump shot from 25 ft (assist by A. Thompson),+3,36-32,,
9:36.0,,,36-32,,A. Mitchell misses 2-pt layup from 7 ft
9:33.0,Defensive rebound by T. Eason,,36-32,,
9:33.0,Turnover by T. Eason (lost ball; steal by I. Hartenstein),,36-32,,
9:32.0,,,36-34,+2,A. Mitchell makes 2-pt layup from 2 ft (assist by I. Hartenstein)
9:14.0,T. Eason makes 3-pt jump shot from 26 ft (assist by A. Thompson),+3,39-34,,
8:59.0,,,39-37,+3,A. Caruso makes 3-pt jump shot from 25 ft (assist by I. Hartenstein)
8:43.0,Offensive foul by A. Şengün (drawn by A. Mitchell),,39-37,,
8:43.0,Turnover by A. Şengün (offensive foul),,39-37,,
8:29.0,,,39-39,+2,C. Holmgren makes 2-pt jump shot from 23 ft (assist by A. Mitchell)
8:19.0,A. Thompson misses 2-pt layup from 1 ft (block by A. Mitchell),,39-39,,
8:18.0,Offensive rebound by Team,,39-39,,
8:11.0,Shooting foul by A. Mitchell (drawn by J. Okogie),,39-39,,
8:11.0,J. Okogie makes free throw 1 of 2,+1,40-39,,
8:11.0,S. Adams enters the game for T. Eason,,40-39,,
8:11.0,K. Durant enters the game for A. Şengün,,40-39,,
8:11.0,R. Sheppard enters the game for A. Thompson,,40-39,,
8:11.0,,,40-39,,L. Dort enters the game for A. Wiggins
8:11.0,J. Okogie makes free throw 2 of 2,+1,41-39,,
7:59.0,,,41-39,,A. Mitchell misses 2-pt jump shot from 13 ft
7:55.0,Defensive rebound by S. Adams,,41-39,,
7:42.0,R. Sheppard misses 3-pt jump shot from 25 ft,,41-39,,
7:40.0,,,41-39,,Defensive rebound by Team
7:25.0,,,41-42,+3,A. Mitchell makes 3-pt jump shot from 25 ft (assist by I. Hartenstein)
6:59.0,K. Durant misses 2-pt jump shot from 15 ft,,41-42,,
6:56.0,Offensive rebound by J. Okogie,,41-42,,
6:54.0,R. Sheppard makes 3-pt jump shot from 26 ft (assist by J. Okogie),+3,44-42,,
6:40.0,,,44-42,,I. Hartenstein misses 3-pt jump shot from 23 ft
6:38.0,Defensive rebound by K. Durant,,44-42,,
6:35.0,Shooting foul by A. Mitchell (drawn by S. Adams),,44-42,,
6:35.0,S. Adams makes free throw 1 of 2,+1,45-42,,
6:35.0,S. Adams makes free throw 2 of 2,+1,46-42,,
6:20.0,,,46-42,,A. Mitchell misses 2-pt jump shot from 8 ft (block by R. Sheppard)
6:17.0,,,46-42,,Offensive rebound by L. Dort
6:15.0,,,46-42,,L. Dort misses 3-pt jump shot from 26 ft
6:12.0,Defensive rebound by K. Durant,,46-42,,
6:07.0,S. Adams misses 2-pt layup from 1 ft,,46-42,,
6:04.0,Offensive rebound by S. Adams,,46-42,,
6:03.0,S. Adams misses 2-pt layup from 2 ft,,46-42,,
6:01.0,,,46-42,,Defensive rebound by C. Holmgren
5:51.0,,,46-42,,C. Holmgren misses 2-pt jump shot from 9 ft
5:50.0,Defensive rebound by R. Sheppard,,46-42,,
5:44.0,Offensive foul by S. Adams (drawn by I. Hartenstein),,46-42,,
5:44.0,Turnover by S. Adams (offensive foul),,46-42,,
5:44.0,A. Thompson enters the game for J. Okogie,,46-42,,
5:44.0,,,46-42,,S. Gilgeous-Alexander enters the game for A. Caruso
5:44.0,,,46-42,,C. Wallace enters the game for C. Holmgren
5:31.0,,,46-42,,S. Gilgeous-Alexander misses 2-pt jump shot from 16 ft
5:28.0,,,46-42,,Offensive rebound by A. Mitchell
5:16.0,,,46-42,,L. Dort misses 2-pt jump shot from 22 ft
5:15.0,,,46-42,,Offensive rebound by Team
5:15.0,,,46-42,,Turnover by Team (shot clock)
5:02.0,Turnover by R. Sheppard (bad pass),,46-42,,
5:02.0,A. Şengün enters the game for J. Smith,,46-42,,
4:51.0,,,46-42,,A. Mitchell misses 3-pt jump shot from 27 ft
4:47.0,Defensive rebound by S. Adams,,46-42,,
4:35.0,A. Thompson misses 3-pt jump shot from 24 ft,,46-42,,
4:33.0,,,46-42,,Defensive rebound by I. Hartenstein
